split,utterance,canonical_phones,mfa_phones,matched_phones
train,000010011,10,10,10
train,000010035,13,13,13
train,000010053,11,12,11
train,000010063,13,13,12
train,000010069,15,15,15
train,000010075,11,11,11
train,000010089,15,15,14
train,000010095,13,13,13
train,000010106,12,13,12
train,000010113,18,18,18
train,000010121,16,16,16
train,000010122,19,19,16
train,000010133,14,14,13
train,000010135,15,15,15
train,000010140,15,15,15
train,000010145,15,17,15
train,000010149,15,15,15
train,000010168,2,2,2
train,000010173,4,4,4
train,000050003,15,15,15
train,000050010,10,10,10
train,000050024,15,15,14
train,000050028,10,11,10
train,000050038,13,14,13
train,000050040,13,13,12
train,000050047,10,10,10
train,000050049,7,7,7
train,000050055,8,8,8
train,000050078,18,18,18
train,000050079,19,19,17
train,000050083,14,13,11
train,000050095,14,14,14
train,000050099,17,18,16
train,000050100,15,16,14
train,000050114,19,19,17
train,000050122,20,20,19
train,000050174,8,8,8
train,000050175,6,6,6
train,000060015,17,17,17
train,000060020,18,18,18
train,000060029,15,16,15
train,000060031,12,13,12
train,000060049,10,10,10
train,000060056,14,14,13
train,000060077,12,13,12
train,000060082,10,10,9
train,000060083,15,16,15
train,000060094,17,17,17
train,000060102,13,14,13
train,000060106,18,19,18
train,000060111,17,17,17
train,000060113,13,13,13
train,000060116,19,20,19
train,000060124,19,19,18
train,000060130,12,12,12
train,000060136,10,10,10
train,000060153,15,16,15
train,000260011,14,14,13
train,000260015,15,15,14
train,000260032,12,13,11
train,000260033,13,14,13
train,000260039,12,12,11
train,000260048,13,14,12
train,000260050,12,12,11
train,000260052,14,15,14
train,000260069,15,15,15
train,000260075,11,11,11
train,000260091,18,18,16
train,000260095,16,16,14
train,000260096,15,15,14
train,000260112,22,22,21
train,000260115,19,19,19
train,000260126,12,12,11
train,000260133,15,15,12
train,000260166,12,12,12
train,000360013,20,20,20
train,000360034,27,27,26
train,000360036,14,14,12
train,000360132,20,20,18
train,000360133,25,26,25
train,000360161,18,19,18
train,000360190,23,24,23
train,000360210,25,25,24
train,000360223,30,29,28
train,000360241,18,18,15
