utterance,speaker,word_index,word,human_stress,human_correct,ctc_viterbi_primary_probability,ctc_viterbi_canonical_location_correct,ctc_viterbi_stress_latency_ms,mfa_primary_probability,mfa_canonical_location_correct,mfa_stress_latency_ms
000030012,0003,2,GOING,10.0,1,0.7297,1,1019.0397500118706,0.7295,1,36.38462501112372
000030012,0003,5,ELEPHANT,10.0,1,0.4287,1,64.25566700636409,0.4933,1,456.12925000023097
000030024,0003,2,CHINA,10.0,1,0.7277,1,63.61466599628329,0.7283,1,43.759708001744
000030051,0003,1,ZERO,10.0,1,0.7279,1,41.99029199662618,0.7277,1,37.45450000860728
000030051,0003,3,ZERO,10.0,1,0.7203,1,60.26654102606699,0.7272,1,40.371666982537135
000030059,0003,0,TOMATO,10.0,1,0.4015,1,52.39699999219738,0.5696,1,54.295375011861324
000030059,0003,2,PHOTO,10.0,1,0.5913,1,65.05516701145098,0.2926,0,45.83683400414884
000030069,0003,0,ALICE,10.0,1,0.7067,1,61.7400000046473,0.7265,1,48.07099999743514
000030069,0003,3,BOXING,10.0,1,0.7298,1,36.25574999023229,0.7297,1,34.720583993475884
000030080,0003,4,BISCUIT,10.0,1,0.3584,0,55.473375017754734,0.705,1,43.843792023835704
000030097,0003,0,HERE,10.0,1,1.0,1,43.033207999542356,1.0,1,30.68116700160317
000030116,0003,1,BILLY,10.0,1,0.715,1,37.75412499089725,0.7058,1,39.663792005740106
000030116,0003,3,INTO,10.0,1,0.7157,1,36.14220899180509,0.5105,1,40.17854100675322
000030119,0003,1,TINA,10.0,1,0.7293,1,40.993375005200505,0.7285,1,45.3188749961555
000030119,0003,3,INTO,10.0,1,0.6423,1,36.3647089980077,0.6615,1,41.17762501118705
000030119,0003,5,WASHROOM,10.0,1,0.7115,1,36.78566700546071,0.719,1,35.92570798355155
000030145,0003,0,BILLY,10.0,1,0.7286,1,35.33858299488202,0.7277,1,39.71775001264177
000030175,0003,0,YUMMY,10.0,1,0.7174,1,70.2803329913877,0.7283,1,49.90350001025945
000240031,0024,7,LADDER,10.0,1,0.7283,1,56.87104200478643,0.7291,1,39.388125005643815
000240071,0024,7,VERY,10.0,1,0.7292,1,35.39937501773238,0.7292,1,34.15087499888614
000240073,0024,2,AMERICAN,10.0,1,0.4016,1,54.825082974275574,0.2875,0,56.379292014753446
000240073,0024,3,COMMUNITY,10.0,1,0.2765,0,61.937416990986094,0.2827,0,59.671124996384606
000240073,0024,5,EUROPE,10.0,1,0.7275,1,35.68991701467894,0.726,1,38.346749992342666
000240073,0024,6,FOLLOWS,10.0,1,0.2927,0,36.770832986803725,0.7285,1,38.05454200482927
000240099,0024,3,TALKING,10.0,1,0.7275,1,34.9253750173375,0.7287,1,35.28812498552725
000240099,0024,4,ABOUT,10.0,1,0.7295,1,37.171042000409216,0.7286,1,38.938542013056576
000240099,0024,8,GENERAL,10.0,1,0.7301,1,35.07775001344271,0.7302,1,36.35941701941192
000240116,0024,0,LOVELY,10.0,1,0.7301,1,35.14558300958015,0.7303,1,34.94070898159407
000240116,0024,3,YOUR,10.0,1,1.0,1,26.237124984618276,1.0,1,26.45195901277475
000240116,0024,4,ACQUAINTANCE,10.0,1,0.5737,1,43.855833006091416,0.5743,1,50.97200002637692
000240151,0024,0,SUCCESSFUL,10.0,1,0.2614,0,44.886334013426676,0.5728,1,44.65670802164823
000240151,0024,4,COLLEGE,10.0,1,0.715,1,37.60016700834967,0.6978,1,37.678874999983236
000240152,0024,3,PRETTY,10.0,1,0.7297,1,33.79616601159796,0.7298,1,34.10866702324711
